"organid"	"aids"	"pitch"	"temperature"	"range1"	"range2"	"windSys"	"windPres"	"consoleLoc"
"Part06_104Hoogkerk"	"tremulant
afsluiting
windlossing (vastgezet)"	"a1 =    Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"drie spaanbalgen (1848)"	"mm"	"achterzijde"
"Part06_060SintGeertruid"	"calcant"	"a1 = 437 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg"	"80 mm"	""
"Part06_006Lellens"	"ventiel (buiten gebruik)
motorschakelaar"	"a1 =    Hz"	"evenredig zwevend"	"Cf3"	"Cg"	"magazijnbalg"	"60 mm"	"voorzijde"
"Part06_058Eys"	"koppeling Ped-Man II"	"a1 = 442 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee spaanbalgen (1844)"	"65 mm"	"linkerzijde"
"Part06_051Zeddam"	"koppelingen OP-HW B/D, Ped-HW
tremulant OP
ventiel"	"a1 ="	"evenredig zwevend"	"C-g3"	"C-f"	""	".. mm"	"linkerzijde"
"Part06_011Borne"	"koppelingen HWOP, PedHW, PedOP
tremulant OP
calcant (motorschakelaar)"	"a1 = 440 Hz"	"evenredig zwevend"	"Cf3"	"Cd1"	"twee magazijnbalgen"	"HW 84 mm, OP 76 mm, Ped 80 mm"	"rechterzijde"
"Part06_013Gendringen"	"tremulant
ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"Cg3"	"Cf"	"twee spaanbalgen (1841)"	"71 mm"	"linkerzijde"
"Part06_037Eindhoven"	"koppeling Ped-Man"	"a1 = 435 Hz"	"evenredig zwevend"	"CD-f3"	"CD-d, lade CD-c"	"magazijnbalg"	"62 mm"	"rechterzijde"
"Part06_008Nijland"	"koppeling HWOP
afsluitingen HW, OP (loze knoppen)
tremulant
ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"Cf3"	"Ch"	"magazijnbalg"	"70 mm"	"linkerzijde"
"Part06_047Soerendonk"	"schuifkoppel HW-OP"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-g"	"twee spaanbalgen (1843)"	"75 mm"	"voorzijde"
"Part06_121Grootebroek"	"koppelingen HW-ZwW, Ped-HW, Ped-ZwW
vier vaste combinaties; één vrije combinatie
tremulant ZwW
ventiel
automatisch pianopedaal
zweltrede (II)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"niet meetbaar"	"linkerzijde"
"Part06_066Drachten"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"zwemmerbalgen onder de laden"	"HW 72 mm, BW 66 mm, Ped 90 mm"	"rechterzijde"
"Part06_062aWinssen"	"koppel (loze knop)
nihil"	"a1 = 415 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"76 mm"	"voorzijde"
"Part06_059Oldebroek"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"a1 = 441 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"twee magazijnbalgen"	"HW, Ped 78 mm, BW 61 mm"	""
"Part06_041Hemelum"	"koppeling HW-BW"	"a1 = 455 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg"	"70 mm"	"rechterzijde"
"Part06_080Stevensweert"	""	"a1 = 430 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg met schepbalg"	"niet meetbaar"	"voorzijde"
"Part06_068HaastrechtRK"	"koppeling HW-BW
tremulant (gehele orgel)"	"a1 =     Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg (1880)"	"mm"	"linkerzijde"
"Part06_115Breda-Ginneken"	"koppelingen HW-BoW, Ped-HW, Ped-BoW
MF, FF alleen op HW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"75 mm"	"voorzijde"
"Part06_070Monster"	"koppelingen HW-NW, Ped-HW, Ped-NW
vaste combinaties P MF T
tremolo NW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"twee kleine magazijnbalgen"	"62 mm"	"vrijstaande speeltafel"
"Part06_084Bussloo"	""	"a1 = 444 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"één spaanbalg (1846)"	"75 mm"	"rechterzijde"
"Part06_046Melissant"	"tremuland (buiten werking)
ventil
windzicht"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg"	".. mm"	"voorzijde"
"Part06_050Voorst"	"windlozing
trede voor het uitschakelen van Octaaf 2’, Mixtuur, Cornet en Trompet"	"a1 =  439 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"drie spaanbalgen (1843)"	"66 mm"	"rechterzijde"
"Part01_094HEERA"	"koppelingen HW-ZW, Ped-HW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"77 mm"	"linkerzijde"
"Part01_049KANTE"	""	"a1 = 451 Hz"	"middentoon"	"CDEFGA-c3"	""	"één spaanbalg (Ahrend), met gebruikmaking van enkele oude onderdelen"	"67 mm"	"voorzijde hoofdkas"
"Part01_048EINDH"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"68 mm"	"achterzijde"
"Part01_022DENBO"	"Koppelingen HW-RP, HW-BW, RP-HW, Ped-HW, Ped-RP"	"a1 = 415 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"vijf spaanbalgen"	"78 mm"	"voorzijde hoofdkas"
"Part01_073ZEVEN"	"tremulant"	"a1 = 440 Hz"	"Werckmeister III"	"C-g3"	"C-d1"	"één enkelvoudig magazijnbalgje"	"70 mm"	""
"Part01_016BROUW"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"regulateurbalgen"	"94 mm"	"voorzijde hoofdkas"
"Part01_004OOSTH"	"tremulant"	"ruim 1/2 toon boven a1 = 440 Hz"	"middentoon"	"FGA-g2a2"	""	"rolbalg (in 1963 'tijdelijk' geplaatst)"	"87 mm"	"voorzijde"
"Part01_008BREDA"	"koppelingen HW-RP, HW-BW, HW-BoW, Ped-HW, Ped-RP, Ped-BW
tremulanten RP (twee standen), BW, BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"HW, RP, BW C-g3; BoW C-f3g3"	"C-f1"	"drie enkele magazijnbalgen"	"HW, RP, BW 90 mm; BoW 60 mm; Ped 98 mm"	"voorzijde hoofdkas"
"Part01_117VOORS"	"koppelingen HW-Pos, Ped-HW, Ped-Pos
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"regulateurbalgen"	"68 mm"	"rechterzijde"
"Part01_015ABCOU"	""	""	""	""	""	""	""	""
"Part01_120ZWOLL"	"koppelingen HW-RP, HW-BW, HW-BoW, BW-BoW, Ped-HW
tremulanten RP; HW,BW,BoW samen"	"a1 = 502 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"12 spaanbalgen, waarvan 5 in gebruik"	"78 mm"	""
"Part01_085UITHU"	"koppelingen HW-RP, Ped-HW (Van Oeckelen, oorspronkelijk niet aanwezig)
afsluiters HW, RP, Ped"	"a1 = 466 Hz"	"gemodificeerde 1/5 komma middentoonstemming"	"CDEFGA-c3"	"C-d1; Cis, Dis, Fis en Gis octaaf hoger aangekoppeld"	"drie spaanbalgen (voorlopig één geplaatst)"	"71 mm"	"voorzijde hoofdkas"
"Part01_072WORKU"	"koppelingen HW-RP (schuifkoppel), Ped-HW
tremulant"	"a1 = ca 440 Hz"	"Werckmeister III"	"C-c3"	"C-d1"	"één spaanbalg"	"73 mm"	""
"Part01_095DORDR"	"koppelingen HW-ZW, Ped-HW, Ped-ZW
tremulant (buiten werking)
drukknoppen voor drie vaste combinaties (P, MF, FF; oplosser) en in- en uitschakelen tongwerken"	"a1 = 446 Hz"	"evenredig zwevend"	"C-g3"	"C-g1"	"magazijnbalg"	"HW, Ped 110 mm, ZW 76 mm"	"linkerzijde"
"Part01_064VOLLE"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulanten HW, RP"	"a1 = 415 Hz"	"Werckmeister I"	"C-c3"	"C-d1"	"magazijnbalg"	"68 mm"	"voorzijde hoofdkas"
"Part01_102RIED"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	""	"twee spaanbalgen"	"thans niet meetbaar vanwege ernstige lekkage van balgen, kanaal en windlade"	"voorzijde hoofdkas"
"Part01_076NW-SC"	"tremulant"	"a1 = ca 470 Hz"	"variant op 1/5-komma stemming"	"CDEFGA-c3"	"CDEFGA-d1"	"één spaanbalg"	"67 mm"	"voorzijde"
"Part01_065DOKKU"	"koppelingen HW-RP, Ped-HW
tremulant"	"a1 = 465 Hz"	"Werckmeister III"	"C-c3"	"C-c1"	"magazijnbalg"	"78 mm"	""
"Part01_107MEPPE"	"koppelingen HW-RP, HW-BoW, Ped-HW, Ped-RP
tremulant RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"regulateurbalgen"	"HW 72 mm, RP, BoW en Ped 75 mm"	"voorzijde hoofdkas"
"Part01_127KOLHO"	""	"a1 = 466 Hz"	"niet evenredig zwevend"	"C-c3"	"C-c"	"twee spaanbalgen"	"74 mm"	"achterzijde"
"Part01_074ZWOLL"	"koppelingen HW-Pos, HW-ZwW, Pos-ZwW, Ped-HW, Ped-Pos, Ped-ZwW
generaal crescendo
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg"	"HW 79 mm, Pos 96 mm, ZwW 95 mm, Ped 115 mm"	""
"Part01_082HILVE"	""	"a1 = 415 Hz"	"naar Lambert Chaumont"	"CD-c3"	"CD-g"	"magazijnbalg"	"75 mm"	"voorzijde"
"Part01_109LEUR"	""	"a1 = 435 Hz"	"Werckmeister III"	"C-c3"	""	"twee spaanbalgen (met vijf vouwen)"	"78 mm"	"achterzijde"
"Part01_113AMDAM"	"koppelingen I-II, Ped-I, Ped-II"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"70 mm"	"voorzijde hoofkas"
"Part01_045EDAM"	"koppelingen HW-RP
tremulanten snel en langzaam"	"a1 = 466 Hz"	"Werckmeister III"	"HW C-c3, RP CDEFGA-c3"	"C-d1"	"één spaanbalg"	"74 mm"	"voorzijde hoofdkas"
"Part01_029ZUTPH"	"Koppelingen HW-BW, HW-RP, RP-HW, Ped-HW, Ped-RP, Ped-BW
tremulanten BW, gehele werk
afsluiters HW, RP, BW, Ped"	"a1 = 443 Hz"	"Werckmeister III"	"C-f3"	"C-d1"	"vijf spaanbalgen (vier van Bader en één van Lohman)"	"moet nog worden vastgesteld (was 74 mm vóór de restauratie)"	"voorzijde hoofdkas"
"Part01_010GRON"	"koppelingen HW-RP, HW-BW
tremulant gehele orgel
tremulant RP"	"a1 = ca 466 Hz"	"Hinsz-variant op één van de temperaturen van Neidhardt"	"C-c3"	"CD-d1"	"grote magazijnbalg voor de manualen, kleinere magazijnbalg voor het pedaal"	"85 mm"	"voorzijde hoofdkas"
"Part01_023LEIDE"	"koppelingen RP-HW B/D, Ped-HW
tremulant BW"	"a1 = ca 415 Hz"	"middentoon"	"HW F1G1A1-c3, RP en BW CDE-c3"	"CDE-d1"	"zes spaanbalgen"	"moet nog vastgesteld worden"	"voorzijde hoofdkas"
"Part01_112WESTZ"	"tremulant"	"a1 = 421 Hz"	"evenredig zwevend"	"C-c3"	"C-g"	"twee spaanbalgen"	"68 mm"	"achterzijde"
"Part01_034MAAST"	"koppelingen GO-Pos, Ped-GO, Ped-Pos
tremblant fort
tremblant doux
rossignol"	"a1 = 392 Hz"	"naar Lambert Chaumont"	"C-g3"	"C-f1"	"magazijnbalg"	"72 mm"	": voorzijde hoofdkas"
"Part01_062BENNE"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"1/4 toon boven a1 = 440 Hz"	"Werckmeister"	"CD-c3"	"C-d1"	"één spaanbalg (Flentrop)"	"72 mm"	""
"Part01_108SCHOO"	"tremulant"	"a1 = 415 Hz"	"Kirnberger III"	"C-c3"	"C-g"	"twee spaanbalgen"	"73 mm"	"achterzijde"
"Part01_003ALKMA"	"koppeling HW-BoW
tremulant
ventiel"	"a1 = 415 Hz"	"middentoon"	"FGA-g2a2"	"FGA-c1"	"drie spaanbalgen"	"moet nog worden vastgesteld (75 mm vóór 1995)"	"voorzijde"
"Part01_125LOSSE"	""	"a1 = 448 Hz"	"1/6 komma middentoon"	"CD-c3"	"CD-f"	"twee spaanbalgen"	"66 mm"	"voorzijde"
"Part01_069HARKS"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"80 mm"	"achterzijde"
"Part01_090GODLI"	""	"a1 = 446 Hz"	"aangepaste 1/6 komma (Pythagoreïsche middentoonstemming)"	"C-e3"	"C-d1"	"drie spaanbalgen"	"65 mm"	"achterzijde"
"Part01_122DELFT"	"koppelingen HW-NW, Ped-HW, Ped-NW"	"a1 = 448 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"89 mm"	""
"Part01_059NIEZI"	""	"a1 = ca 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1 (cis1 en d1 niet aangesloten)"	"twee spaanbalgen"	"ca 78 mm"	"rechterzijde"
"Part01_019HULST"	"koppelingen GO-Pos, Ped-GO, Ped-Pos"	"a1 = 415 Hz"	"nagenoeg evenredig zwevend"	"C-d3"	"C-f1"	"magazijnbalg"	"88 mm"	"voorzijde"
"Part01_089EENUM"	"tremulant
windlosser"	"a1 = ca 466 Hz"	"middentoon"	"CDEFGA-c3"	"C-d1; Cis, Dis, Fis en Gis één octaaf hoger aangekoppeld"	"magazijnbalg (Doornbos)"	"62, 5 mm"	"achterzijde"
"Part01_043MUIDE"	"koppelingen HW-BW B/D
tremulant BW
ventiel"	"a1 = 436,5 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg (1928)"	"83 mm"	"achterzijde"
"Part01_014SCHIE"	"koppelingen HW-RP, HW-BW, Ped-HW, Ped-RP
tremulanten BW, RP"	"a1 = 440 Hz"	"evenredig zwevend"	"HW, BW C-f3, RP CDE-d3"	"C-f1"	"magazijnbalg"	"83 mm"	""
"Part01_079MOLKW"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	""	"één spaanbalg"	"70 mm"	""
"Part01_007KREWE"	""	"ruim halve toon boven a1 = 440 Hz (oorspronkelijk halve toon onder a1 = 440 Hz)"	"middentoon"	"CDEFGA-c3"	"CDEFGA-d"	"drie spaanbalgen (1857)"	"85 mm"	"achterzijde"
"Part01_031CUIJK"	"koppelingen GO-Pos, Ped-GO
tremulant
nagtegaal
vogelkens
tambour"	"a1 = 415 Hz"	"1/5 komma middentoonstemming"	"Groot Orgel, Posityf CD-c3, Echo c1-c3"	"C-c1"	"drie spaanbalgen"	"76 mm"	"voorzijde hoofdkas"
"Part01_087GRONI"	"koppelingen RP-HW B/D, HW-BW B/D, Ped-RP
tremulant (pneumatisch, Doornbos)
afsluiters HW, RP, BW, Ped
calcant"	"gis1 = 450 Hz"	"evenredig zwevend"	"HW en BW C-c3, RP CDEFGA-c3"	"CDE-d1 (laden 1702), C-d1 (laden 1858)"	"magazijnbalg (Doornbos)"	"76 mm"	"voorzijde hoofdkas"
"Part01_114CULEM"	"koppelingen HW-OP, Ped-HW
tremulanten HW, OP"	"a1 = 415 Hz"	"evenredig zwevend"	"C-c3"	"C-f1"	"drie spaanbalgen (Verhofstadt)"	"75 mm"	"achterzijde"
"Part01_017LOPPE"	"koppelingen HW-RP
tremulant RP
afsluiters HW, RP"	"ca 3/4 toon boven a1 = 440 Hz"	"evenredig zwevend"	"C-c3"	"C-d1"	"magazijnbalg (Doornbos)"	"76 mm"	"voorzijde hoofdkas"
"Part01_106WOERD"	"koppeling Ped-Man
tremulant"	"a1 = 444 Hz"	"evenredig zwevend"	"C-f3"	"C-d1 (oorspronkelijk C-c)"	"magazijnbalg"	"67 mm"	"achterzijde"
"Part01_077ETTEN"	"tremulant"	"a1 = 405 Hz"	"1/5 komma 'Wohltemperiert' naar ontwerp van Harald Vogel"	"C-c3"	"C-c1"	"één spaanbalg"	"75,5 mm"	"voorzijde hoofdkas"
"Part01_083SCHIJ"	""	"a1 = 435 Hz"	"middentoon"	"C-f3"	""	"spaanbalg (Vermeulen)"	"78 mm"	"achterzijde"
"Part01_119RODAM"	"koppelingen HW-BW, Ped-HW, Ped-BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"97 mm"	"voorzijde"
"Part01_037SASSE"	"koppeling Ped-Man
tremulant"	"ruim 1/4 toon beneden a1 = 440 Hz"	"gemodificeerde middentoonstemming"	"C-c3"	"C-d1"	"twee spaanbalgen"	"83 mm"	"voorzijde"
"Part01_075MENSI"	"windlosser"	"a1 = 466 Hz"	"Werckmeister III"	"C-c3"	"C-d1"	"magazijnbalg"	"72 mm"	"voorzijde hoofdkas"
"Part01_030ALKMA"	"koppelingen RP-HW, RP-BW, HW-BW, Ped-HW, Ped-RP
tremulanten RP, BW
afsluiters HW, RP, BW, Ped"	"a1 = 415 Hz"	"evenredig zwevend"	"C-d3"	"C-d1"	"zes spaanbalgen"	"76 mm"	"voorzijde onderkas"
"Part01_110IJSSE"	"koppelingen HW-OP, Ped-HW, Ped-OP
tremulanten HW, OP"	"a1 = ca 438 Hz"	"evenredig zwevend"	"C-d3"	"C-f1"	"magazijnbalg"	"HW en Ped 76 mm, OP 72 mm"	"achterzijde"
"Part01_091MIDDE"	"koppelingen HW-RP B/D"	"a1 = 440 Hz"	"Kirnberger"	"C-c3"	"C-c1"	"magazijnbalg"	"76 mm"	"voorzijde hoofkas"
"Part01_021ENKHU"	"koppelingen HW-RP, Ped-RP
tremulant
afsluiters HW, RP, Ped"	"a1 = ca 450 Hz"	"evenredig zwevend"	"C-d3"	"CDE-c1"	"vier spaanbalgen"	"72 mm"	"voorzijde hoofdkas"
"Part01_060BOVEN"	"tremulant
ventiel"	"a1 = ca 466 Hz"	"Young"	"C-f3"	"C-b"	"magazijnbalg (J. Proper)"	"63 mm"	"linkerzijde"
"Part01_040BLESS"	"koppeling Ped-Man
tremulant
afsluiter"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg"	"thans niet meetbaar"	"voorzijde"
"Part01_057AARDE"	"koppelingen HW-RP, Ped-HW, Ped-RP"	"a1 = 443 Hz"	"middentoon naar Silbermann"	"C-f3"	"C-d1"	"rolbalg"	"62 mm (RP)"	""
"Part01_098UTREC"	"tremulant"	"a1 = 415 Hz"	"evenredig zwevend"	"C-f3"	""	"spaanbalg"	"85 mm"	"achterzijde"
"Part01_036DRONR"	"koppelingen HW-RP, Ped-HW
tremulant
ventiel
twee forteknoppen"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"85 mm"	"voorzijde hoofdkas"
"Part01_080NIJME"	""	"a1 = ca 415 Hz"	"gemodificeerde middentoonsteming"	"CDEFGA-c3"	"CDEFGA-a"	"twee kleine spaanbalgen"	"95 mm"	"achterzijde"
"Part01_028GOES"	"Koppelingen HW-RP, HW-EW, Ped-HW, Ped-RP, Ped-EW 
tremulanten RP, EW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"regulateurbalgen"	"90 mm"	""
"Part01_070H-I-A"	"koppelingen HW-BW, Ped-HW
tremulant"	"a1 = 440 Hz"	"Kirnberger"	"C-c3"	"C-d1"	"twee spaanbalgen"	"70 mm"	"voorzijde"
"Part01_105RAVEN"	""	"ruim 1/8 toon beneden a1 = 440 Hz"	"Kirnberger/Bolt-stemming"	"C-c3"	""	"twee spaanbalgen (kopie van balgen in de Oud-Katholieke kerk te Zaandam)"	"60 mm"	"achterzijde"
"Part01_032AMDAM"	"koppelingen HW-ZW B/D, Ped-ZW
tremulant
afsluiter"	"a1 = 460 Hz"	"middentoon"	"CDE-c3"	"CDE-d1e1"	"drie spaanbalgen met dubbele vouwen"	"68 mm"	"voorzijde hoofdkas"
"Part01_025PEIZE"	""	"ruim 1/2 toon boven a1 = 440 Hz"	"Werckmeister III"	"C-c3"	"CD-d1"	"magazijnbalg"	"68 mm"	"voorzijde hoofdkas"
"Part01_042HELLU"	"tremulant
afsluiter"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"drie spaanbalgen"	"80 mm"	""
"Part01_078ROOSE"	""	""	""	""	""	""	""	""
"Part01_018LEIDE"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant BW"	"a1 = 415 Hz"	"Werckmeister III"	"CDE-c3"	"C-d1"	"één spaanbalg"	"79 mm"	"voorzijde"
"Part01_067GRONI"	"koppeling HW-RP
tremulant
afsluiters HW, RP
windlosser
calcant"	"a1 = ca 466 Hz"	"afwijkend, met zes reine kwinten, zes getempereerde kwinten; c-g, g-d, a-e en h-fis een kwart komma kleiner, gis-dis een kwartkomma groter dan rein"	"C-c3"	"C-d1"	"magazijnbalg (Van Dam)"	"70 mm"	"voorzijde hoofdkas"
"Part01_063HEESB"	""	""	""	""	""	""	""	""
"Part01_011ENKHU"	"koppelingen HW-RP, HW-BW, Ped-HW, Ped-BW, Ped-RP
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-g1"	"magazijnbalg, aparte regulateurbalg voor RP"	"HW, BW 100 mm, RP 90 mm"	"voorzijde hoofdkas"
"Part01_068MIDDE"	"koppelingen HW-RP, HW-BW, Ped-HW, Ped-RP, Ped-BW
tremulanten RP, BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"regulateurbalgen"	"75 mm"	""
"Part01_051BOXUM"	"koppeling HW-RP"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"79 mm"	"voorzijde hoofdkas"
"Part01_111ANLOO"	"koppeling HW-BoW
tremulant"	"ca 3/4 toon boven a1 = 440 Hz"	"1/5 komma variant"	"C-c3"	"C-d1"	"vier spaanbalgen"	"nog niet vastgesteld"	""
"Part01_039MARUM"	"ventiel
calcant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg en regulateurbalg"	"60 mm"	"linkerzijde"
"Part01_058DIRKS"	"koppelingen HW-RP B/D, Ped-HW (i.v.m. eventueel vrij pedaal)
tremulant RP
afsluiters HW, RP
ventiel
calcant"	"ca 1/4 toon onder a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"vier spaanbalgen"	"80 mm"	"voorzijde hoofkas"
"Part01_100ZAAND"	"koppelingen BW-HW, Ped-HW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-d3"	"C-d1"	"drie spaanbalgen"	"78 mm"	"voorzijde"
"Part01_066LOENE"	""	"a1 = 466 Hz"	"Werckmeister III"	"CD-c3"	"CD-gis"	"twee spaanbalgen"	"81 mm"	""
"Part01_041TERNA"	"koppelingen HW-BW, Ped-HW
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg (1864)"	"70 mm"	""
"Part01_096ZAAND"	"tremulant (buiten gebruik)"	"a1 = 432 Hz"	"evenredig zwevend"	"C-c3"	""	"twee spaanbalgen"	"55 mm"	"achterzijde"
"Part01_084UTR"	"koppelingen HW-Pos, Ped-HW, Ped-Pos
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee spaanbalgen"	"85 mm"	"voorzijde"
"Part01_050MEDEM"	"koppelingen HW-RP B/D
tremulant
afsluiter
windlosser"	"a1 = 453 Hz"	"Werckmeister III"	"HW, RP C-c3, BoW FGA-g2a2"	"C-b"	"vier spaanbalgen"	"ca 90 mm"	"voorzijde hoofdkas"
"Part01_104LIMBR"	"tremulant"	"a1 = ca 466 Hz"	"1/5 komma gemodificeerde middentoonstemming"	"CD-c3"	"C-f"	"twee spaanbalgen (Verschueren, met gebruikmaking van overgebleven originele balgbladen)"	"63 mm"	"achterzijde"
"Part01_081HOORN"	""	"a1 = 440 Hz"	"Werckmeister III"	"C-f3"	"C-c1"	"één spaanbalg"	"76 mm"	""
"Part01_088VENLO"	""	""	""	""	""	""	""	""
"Part01_116ZOUTE"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"CD-c3"	"CD-f"	"magazijnbalg"	"65 mm"	"voorzijde"
"Part01_071NOORD"	"koppelingen HW-RP, Ped-HW
tremulant
afsluiters HW, RP, Ped"	"a1 = 470 Hz"	"Werckmeister III (gemodificeerd naar ontwerp van Harald Vogel)"	"C-c3"	"C-d1"	"vier spaanbalgen"	"ca 82 mm"	"voorzijde hoofdkas"
"Part01_101SLOTE"	"koppeling HW-RP
tremulant"	"a1 = 466 Hz"	"Werckmeister"	"C-c3"	"C-d1"	"magazijnbalg"	"70 mm"	"voorzijde hoofdkas"
"Part01_115HINDE"	"koppeling HW-BW
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"60 mm"	""
"Part01_126DELFT"	"wind (motorschakelaar)"	"a1 = 440 Hz"	"evenredig zwevend"	"windlade C-f3, klavieren C-g3"	"C-d1"	"magazijnbalg"	"80 mm"	""
"Part01_006AMDAM"	""	""	""	""	""	""	""	""
"Part01_005NIEUW"	"koppelingen HW-BW, Ped-HW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"95 mm"	""
"Part01_013HATTE"	""	"a1 = 440 Hz"	"middentoon"	"CDEFGA-c3"	"CDEFGA-g"	"drie spaanbalgen"	"87 mm"	"voorzijde"
"Part01_012AMDAM"	""	""	""	""	""	""	""	""
"Part01_033ZEERI"	"koppeling HW-RP
balgtremulant (gehele orgel)
inliggende tremulant (RP)
nachtegaal
trommel
omlopende sterren
afsluitingen HW, RP"	"a1 = 466 Hz"	"middentoon"	"CDEFGA-g2a2"	"CDEFGA-d1"	"drie spaanbalgen"	"72 mm"	"voorzijde hoofdkas"
"Part01_061ADAM"	"koppelingen RP-HW, HW-RP, HW-BW, Ped-HW, Ped-RP, Ped-BW
tremulant (opliggend) voor gehele werk
tremulanten (inliggend) RP, BW
afsluiter BW
ventielen HW, RP en Ped"	"a1 = 440 Hz"	"evenredig zwevend"	"HW, BW C-d3; RP CDE-d3"	"C-d1"	"zes spaanbalgen (Flentrop)"	"74 mm"	"voorzijde hoofdkas"
"Part01_128RODAM"	"tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f3"	"regulateurbalg"	"60 mm"	"voorzijde"
"Part01_086DENHA"	"koppelingen RP-HW, HW-BW, Ped-HW, Ped-RP
tremulanten RP, BW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (en reguleerbalg RP)"	"HW, BW, Ped 94 mm, RP 88 mm"	""
"Part01_009ROTTL"	"koppelingen HW-RP, HW-BoW, Ped-HW, Ped-RP, Ped-BoW 
tremulanten RP, BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"drie vouwbalgen"	"HW, BoW, Ped 65 mm en RP 60 mm"	"voorzijde hoofdkas"
